CellType,Symbol,AffymetrixID,UGCIuster         I,EntrezGene Name,
T helper cells,ANP32B,201306 s at,Hs.494604,"10541 acidic (Ieucine-rich) nuclear phosphoprotein 32 family, member B",
T helper cells,DDX50,221699_s_at,Hs.522984,79009 DEAD (Asp-GIu-AIa-Asp) box polypeptide 50,
T helper cells,C13orf34,219544-at,Hs.653132,79866 chromosome 13 open reading frame 34,
T helper cells,PPP2R5C,213305_s_at,Hs.368264,"5527 protein phosphatase 2, regulatory subunit B,, gamma isoform",
T helper cells,SLC25A12,203340_s_at,Hs.470608,"8604 solute carrier family 25 (mitochondrial carrier, Aralar), member 12",
T helper cells,ATF2,205446_s_at,Hs.694722,1386 activating transcription factor 2,
T helper cells,CD28,211856 x at,Hs.591629,940 CD28 molecule,
T helper cells,GOLGA8A,208798_x_at,Hs. 182982,"23015 golgi autoantigen, golgin subfamily a, 8A",
Tcm,CDC14A,210441.at,Hs. 127411,8556 CDC14 cell division cycle 14 homolog A (S. cerevisiae),
Tcm,ATM,208442_s_at,Hs.367437,472 ataxia telangiectasia mutated,
Tcm,USP9Y,206624-at,Hs.655309,"8287 ubiquitin specific peptidase 9, Y-Iinked (fat facets-like, Drosophila)",
Tcm,PCNX,215175-at,Hs.446559,22990 pecan ex homolog (DrosophiIa),
Tcm,ATM,210858 x at,Hs.367437,472 ataxia telangiectasia mutated,
Tcm,FOXP1,215221.at,Hs.431498,27086 forkhead box P1,
Tcm,KLF12,206965.at,"Hs.373857, Hs.59250",11278 Kruppel-Iike factor 12,
Tcm,ST3GAL1,215874.at,Hs.584803,"6482 ST3 beta-galactoside al ph a-2,3-si al yltran sferase 1",
Tcm,INPP4B,215864.at,Hs.658245,"8821 inositol polyphosphate-4-phosphatase, type II, 105kDa",
Tcm,CASP8,207686.s.at,Hs.655983,"841 caspase 8, apoptosis-related cysteine peptidase",
Tcm,MLL,216624.s.at,"Hs.258855, Hs.66447","4297 myeloidZlymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)",
Tcm,PCM1,209997.x.at,Hs.491148,5108 Pericentriolar material 1,
Tcm,RP11-74E24.2,205787 x at,Hs.546686,441155 zinc finger CCCH-type domain-containing pseudogene,
Tcm,PHC3,215521.at,"Hs.529592, Hs.69446",80012 Polyhomeotic homolog 3 (DrosophiIa),
Tcm,NFATC3,210556.at,Hs.632209,"4775 nuclear factor of activated T-cells, cytoplasmic, calcin euri n-d ep end ent 3",
Tcm,LOC202134,215133 s at,"Hs.646912, Hs.65568",202134 hypothetical protein LOC202134,
Tcm,TIMM8A,210800.aΓ,Hs.447877,1678 translocase of inner mitochondrial membrane 8 homolog A (yeast),
Tcm,ATF7IP,216197_at,Hs.591151,55729 activating transcription factor 7 interacting protein,
Tcm,REPS1,215201 .at,Hs.334603,85021 RALBP1 associated Eps domain containing 1,
Tcm,PSPC1,215083.at,Hs.213198,55269 paraspeckle component 1,
Tcm,RPP38,215743.at,Hs.60339,9397 N-myristoyltransferase 2,
Tcm,HNRPH1,213472.at,Hs.604001,3187 heterogeneous nuclear ribonucleoprotein HI (H),
Tcm,STX16,221638.s.at,Hs.307913,8675 syntaxin 16,
Tcm,CYLD,214272_at,Hs.578973,1540 Cylindromatosis (turban tumor syndrome),
Tcm,SNRPN,216850_at,"Hs.564847, Hs.63216",6638 small nuclear ribonucleoprotein polypeptide N,
Tcm,TRAF3IP3,215275_at,Hs. 147434,80342 TRAF3 interacting protein 3,
Tcm,NEFL,221805-at,Hs.521461,"4747 neurofilament, light polypeptide 68kDa",
Tcm,POLR2J2,217610-at,"Hs.654726, Hs.69363",246721 DNA directed RNA polymerase Il polypeptide J-related,
Tcm,AQP3,203747-at,Hs.234642,360 aquaporin 3 (Gill blood group),
Tcm,CG030,215105-at,Hs.658751,116828 hypothetical gene CG030,
Tcm,PDXDC2,215920 s at,Hs.513695,283970 pyridoxal-dependent decarboxylase domain containing 2,
Tcm,CLUAP1,204576_s_at,Hs. 155995,23059 clusterin associated protein 1,
Tcm,DOCK9,215041_s_at,Hs.654825,23348 dedicator of cytokinesis 9,
Tcm,CYorf15B,214131.at,Hs.592254,84663 ChromosomeY open reading frame 15B,
Tcm,CREBZF,213584_s_at,"Hs.535319, Hs.65701",58487 CREB/ATF bZIP transcription factor,
Tcm,CEP68,207971 _s_at,Hs.693614,23177 Centrosomal protein 68kDa,
Tcm,TXK,206828-at,Hs.479669,7294 TXK tyrosine kinase,
Tcm,SLC7A6,203578 s at,Hs.653193,"9057 solute carrier family 7 (cationic amino acid transporter, y+ system), member 6",
Tcm,FYB,205285 s at,Hs.370503,2533 FYN binding protein (FYB-120/130),
Tcm,MAP3K1,214786-at,Hs.657756,4214 mitogen-activated protein kinase kinase kinase 1,
Tem,TRA@,217397-at,Hs.74647,6955 T cell receptor alpha locus,
Tem,PRKY,206279-at,Hs.632287,"5616 protein kinase, Y-Iinked",
Tem,VIL2,217230_at,Hs.693594,7430 Villin 2 (ezrin),
Tem,GDPD5,32502_at,"Hs.503297, Hs.67186",81544 glycerophOsphodiesterphosphodiesterase domain containing 5,
Tem,CCR2,206978-at,Hs.644637,1231 Chemokine (C-C motif) receptor 2,
Tem,MEFV,208262_x_at,Hs.632221,4210 Mediterranean fever,
Tem,C7orf54,210109-aΓ,Hs.657377,27099 chromosome 7 open reading frame 54,
Tem,FLI1,210786_s_at,Hs.504281,2313 Friend leukemia virus integration 1,
Tem,TBC1D5,201815_s_at,Hs.475629,"9779 TBCI domain family, member 5",
Tem,DDX17,208719_s_at,"Hs.528305, Hs.66542",10521 DEAD (Asp-GIu-AIa-Asp) box polypeptide 17,
Tem,AKT3,212609_s_at,Hs.498292,"IOOOO v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)",
Tem,EWSR1,211825_s_at,Hs.374477,2130 Ewing sarcoma breakpoint region 1,
Tem,TBCD,201759-aΓ,Hs.464391,6904 tubulin folding cofactor D,
Tem,CCR2,207794-at,Hs.644637,1231 Chemokine (C-C motif) receptor 2,
Tem,NFATC4,205897-at,Hs.77810,"4776 nuclear Iactor of activated T-cells, cytoplasmic, calcineurin-dependent 4",
Tem,LTK,207106_s_at,Hs.434481,4058 leukocyte tyrosine kinase,
Th1 cells,IFNG,210354-aΓ,Hs.856,"3458 interferon, gamma",
Th1 cells,LTA,206975-at,Hs.36,"4049 Iymphotoxin alpha (TNF superfamily, member 1)",
Th1 cells,APBB2,213419-at,Hs.479602,"323 amyloid beta (A4) precursor protein-binding, family B, member 2 (FeSS-Iike)",
Th1 cells,DOK5,214844_s_at,Hs.656582,55816 docking protein 5,
Th1 cells,IL12RB2,206999-aΓ,Hs.479347,"3595 interleukin 12 receptor, beta 2",
Th1 cells,APBB2,40148-at,Hs.479602,"323 amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like)",
Th1 cells,APOD,201525-at,Hs.522555,347 apolipoprotein D,
Th1 cells,ZBTB32,220118-at,Hs.99430,27033 zinc finger and BTB domain containing 32,
Th1 cells,CD38,205692_s_at,Hs.479214,952 CD38 molecule,
Th1 cells,CSF2,210229_s_at,Hs. 1349,1437 colony stimulating factor 2 (granuIocyte-macrophage),
Th1 cells,CTLA4,221331_x_at,Hs.247824,1493 cytotoxic T-lymphocyte-associated protein 4,
Th1 cells,CD70,206508-aΓ,Hs.501497,970 CD70 molecule,
Th1 cells,DPP4,211478 s at,Hs.368912,"1803 dipeptidyl-peptidase 4 (CD26, adenosine deaminase complexing protein 2)",
Th1 cells,EGFL6,219454-aΓ,Hs. 12844,"25975 EGF-Iike-domain, multiple 6",
Th1 cells,BST2,201641.at,Hs.118110,684 bone marrow stromal cell antigen 2,
Th1 cells,DUSP5,209457.at,Hs.2128,1847 dual specificity phosphatase 5,
Th1 cells,LRP8,205282.at,Hs.576154,"7804 low density lipoprotein receptor-related protein 8, apolipoprotein e receptor",
Th1 cells,IL22,221165.s.at,Hs.287369,50616 interleukin 22,
Th1 cells,DGKI,206806.at,Hs.242947,"9162 di acyl glycerol kinase, iota",
Th1 cells,CCL4,204103.at,Hs.75703,6351 Chemokine (C-C motif) ligand 4,
Th1 cells,DPP4,203716.s.at,Hs.368912,"1803 dipeptidyl-peptidase 4 (CD26, adenosine deaminase complexing protein 2)",
Th1 cells,GGT1,211417 x at,"Hs.595809, Hs.64553",2678 gam m a-gl utam yItransferase 1,
Th1 cells,LRRN3,209840.s.at,Hs.3781,54674 leucine rich repeat neuronal 3,
Th1 cells,SYNGR3,205691.a?,Hs.435277,9143 Synaptogyrin 3,
Th1 cells,ATP9A,212062.at,Hs.592144,"10079 ATPase, Class II, type 9A",
Th1 cells,BTG3,205548.s.at,Hs.473420,"10950 BTG family, member 3",
Th1 cells,CMAH,210571.s.at,Hs.484918,8418 cytidine monophosphate-N-acetyIneuraminic acid hydroxylase (CMP-N-acetyIneuraminate monooxygenase),
Th1 cells,HBEGF,38037.at,Hs.799,1839 heparin-binding EGF-Iike growth factor,
Th1 cells,SGCB,205120.s.at,Hs.438953,"6443 sarcoglycan, beta (43kDa dystrophin-associated glycoprotein)",
Th2 cells,PMCH,206942.s.at,Hs.694729,5367 pro-m el an i n-con centrati ng hormone,
Th2 cells,AHI1,220841.s.at,Hs.386684,54806 Abelson helper integration site 1,
Th2 cells,PTGIS,208131.s.at,Hs.302085,5740 prostaglandin 12 (prostacyclin) synthase,
Th2 cells,AHI1,220842.aΓ,Hs.386684,54806 Abelson helper integration site 1,
Th2 cells,CXCR6,211469.s.at,Hs.34526,10663 Chemokine (C-X-C motif) receptor 6,
Th2 cells,EVI5,209717.aΓ,Hs.656836,7813 ecotropic viral integration site 5,
Th2 cells,AHI1,221569.at,Hs.386684,54806 Abelson helper integration site 1,
Th2 cells,IL26,221 111.at,Hs.272350,55801 interleukin 26,
Th2 cells,MB,204179.at,Hs.517586,4151 myoglobin,
Th2 cells,NEIL3,219502.at,Hs.405467,55247 nei endonuclease Vlll-Iike 3 (E. coli),
Th2 cells,GSTA4,202967.at,Hs.485557,2941 glutathione S-transferase A4,
Th2 cells,PHEX,210617.at,Hs.495834,"5251 phosphate regulating endopeptidase homolog, X-Iinked (hypophosphatemia, vitamin D resistant rickets)",
Th2 cells,SMAD2,203076.s.at,"Hs. 12253, Hs.598146",4087 SMAD family member 2,
Th2 cells,CENPF,209172 s at,Hs.497741,"1063 centromere protein F, 350∕400ka (mitosin)",
Th2 cells,ANK1,208353.x.at,"Hs.654438, Hs.66737","286 ankyrin 1, erythrocytic",
Th2 cells,ADCY1,213245.at,Hs.192215,107 adenylate cyclase 1 (brain),
Th2 cells,AI582773,214373.at,Hs.655175,728210 hypothetical protein LOC728210,
Th2 cells,LAIR2,207509.s.at,Hs.43803,3904 leukocyte-associated immunoglobulin-like receptor 2,
Th2 cells,SNRPD1,202691.a?,Hs.464734,6632 small nuclear ribonucleoprotein Dl polypeptide 16kDa,
Th2 cells,CXCR6,206974.at,Hs.34526,10663 Chemokine (C-X-C motif) receptor 6,
Th2 cells,MICAL2,212472.at,Hs.501928,"9645 microtubule associated monoxygenase, calponin and LIM domain containing 2",
Th2 cells,DHFR,202534.x.at,"Hs.648635, Hs.65455",1719 di hydrofol ate reductase,
Th2 cells,SMAD2,203077 s at,"Hs. 12253, Hs.598146",4087 SMAD family member 2,
Th2 cells,WDHD1,204728 s at,Hs.385998,11169 WD repeat and HMG-box DNA binding protein 1,
Th2 cells,BIRC5,210334.x.at,Hs.514527,332 bacuIoviral IAP repeat-containing 5 (sur√ivin),
Th2 cells,DHFR,48808.at,"Hs.648635, Hs.65455",1719 di hydrofol ate reductase,
Th2 cells,SLC39A14,212110.at,Hs.491232,"23516 solute carrier family 39 (zinc transporter), member 14",
Th2 cells,HELLS,220085.at,Hs.655830,"3070 helicase, lymphoid-specific",
Th2 cells,LIMA1,217892 s at,Hs.525419,51474 LIM domain and actin binding 1,
Th2 cells,CDC25C,205167.s.at,Hs.656,995 cell division cycle 25 homolog C (S. pombe),
Th2 cells,CDC7,20451O.at,Hs.533573,8317 cell division cycle 7 homolog (S. cerevisiae),
Th2 cells,GATA3,209602.s.at,Hs.524134,2625 GATA binding protein 3,
TFH,CHI3L2,213060.s.at,Hs.514840,1117 chitinase 3-like 2,
TFH,CXCL13,205242.aΓ,Hs. 100431,10563 chemokine (C-X-C motif) ligand 13 (B-cell chemoattractant),
TFH,MYO7A,33197.at,Hs.370421,4647 myosin VIIA,
TFH,CHGB,204260.at,Hs.516874,1114 Chromogranin B (Secretogranin 1),
TFH,MYO7A,208189.s.at,Hs.370421,4647 myosin VIIA,
TFH,ICA1,210547.x.at,Hs.487561,"3382 islet cell autoantigen 1, 69kDa",
TFH,HEY1,218839.aΓ,Hs.234434,23462 hairy/enhancer-of-split related with YRPWmotif 1,
TFH,CDK5R1,204995.at,Hs.500015,"8851 cyclin-d epend ent kinase 5, regulatory subunit 1 (p35)",
TFH,ST8SIA1,210073.at,Hs.408614,"6489 ST8 al ph a-N- acetyl-neu ram i n id e al ph a-2,8-sial yltran sferase 1",
TFH,PDCD1,207634.at,Hs. 158297,5133 programmed cell death 1,
TFH,BLR1,216734.s.at,Hs. 113916,"643 Burkitt Iymphoma receptor 1, GTP binding protein (chemokine (C-X-C motif) receptor 5)",
TFH,KIAA1324,221874.at,Hs.642705,57535 KIAAI324,
TFH,PVALB,205336.at,Hs.295449,5816 parvalbumin,
TFH,ICA1,207949.s.at,Hs.487561,"3382 islet cell autoantigen 1, 69kDa",
TFH,TSHR,210055.aΓ,Hs. 160411,7253 thyroid stimulating hormone receptor,
TFH,C18orf1,209574.s.at,Hs. 149363,753 chromosome 18 open reading frame 1,
TFH,HEYI,44783.s.at,Hs.234434,23462 hairy/enhancer-of-split related with YRPWmotif 1,
TFH,TOX,204529.s.at,"Hs.491805, Hs.63485",9760 thymocyte selection-associated high mobility group box,
TFH,BLR1,206126-at,Hs. 113916,"643 Burkitt Iymphoma receptor 1, GTP binding protein (chemokine (C-X-C motif) receptor 5)",
TFH,SLC7A10,220868_s_at,Hs.58679,"56301 solute carrier family 7, (neutral amino acid transporter, y+ system) member 10",
TFH,SMAD1,210993_s_at,Hs.656534,4086 SMAD family member 1,
TFH,POMT1,218476-aΓ,Hs.522449,10585 protein-O-m an n Osyltransferase 1,
TFH,PASK,216945_x_at,Hs.694813,23178 PAS domain containing serine/threonine kinase,
TFH,MKL2,218259-aΓ,Hs.592047,57496 M KL/m yocard i n-l ike 2,
TFH,PTPN13,204201 _s_at,Hs.436142,"5783 protein tyrosine phosphatase, non-receptor type 13 (APO-1/CD95 (Fas)-associated phosphatase)",
TFH,PASK,213534 s at,Hs.694813,23178 PAS domain containing serine/threonine kinase,
TFH,KCNKS,219615_s_at,Hs.444448,"8645 potassium channel, subfamily K, member 5",
TFH,C18orf1,207996_s_at,Hs. 149363,753 chromosome 18 open reading frame 1,
TFH,ZNF764,57516_at,Hs. 132227,92595 zinc finger protein 764,
TFH,MAF,206363-at,Hs. 134859,4094 v-maf muscuIoaponeurotic fibrosarcoma oncogene homolog (avian),
TFH,MVO6,210480_s_at,Hs. 149387,4646 myosin Vl,
TFH,SIRPG,220485 s at,Hs.590883,55423 signal-regulatory protein gamma,
TFH,THADA,54632-at,Hs.369592,63892 thyroid adenoma associated,
TFH,THADA,220212_s_at,Hs.369592,63892 thyroid adenoma associated,
TFH,MAGEH1,218573-at,Hs.279819,"28986 melanoma antigen family H, 1",
TFH,B3GAT1,219521.at,Hs.381050,"27087 beta-1,3-g Iu Curonyltransferase 1 (gl u cu ran osyltran sferase P)",
TFH,MAF,209348_s_at,Hs. 134859,4094 v-maf muscuIoaponeurotic fibrosarcoma oncogene homolog (avian),
TFH,SH3TC1,219256 s at,Hs.479116,54436 SH 3 domain and tetratri copeptide repeats 1,
TFH,HIST1H4K,214463_x_at,Hs.528055,"8362 histone cluster 1, H4k",
TFH,STK39,202786-at,Hs.276271,"27347 serine threonine kinase 39 (STE20∕SPS1 homolog, yeast)",
Th17 cells,IL17A,208402_at,Hs.41724,3605 interleukin 17A,
Th17 cells,IL17A,216876_s_at,Hs.41724,3605 interleukin 17A,
Th17 cells,IL17RA,205707-aΓ,Hs. 129751,23765 interleukin 17 receptor A,
Th17 cells,RORC,206419_at,"Hs.256022, Hs.60799",6097 RAR-related orphan receptor C,
TReg,FOXP3,221333.at,Hs.247700,50943 forkhead box P3,
TReg,FOXP3,221334_s_at,Hs.247700,50943 forkhead box P3,
CD8 T cells,CD8B,207979_s_at,Hs.405667,926 CD8b molecule,
CD8 T cells,CD8A,205758-aΓ,Hs.85258,925 CD8a molecule,
CD8 T cells,CD8B,215332_s_at,Hs.405667,926 CD8b molecule,
CD8 T cells,PF4,206390 x at,Hs.81564,5196 platelet factor 4 (chemokine (C-X-C motif) ligand 4),
CD8 T cells,PRRS,47069-at,Hs. 102336,55615 proline rich 5 (renal),
CD8 T cells,SF1,210172_at,Hs.502829,7536 splicing factor 1,
CD8 T cells,LIME1,219541.at,Hs.233220,54923 Lck interacting transmembrane adaptor 1,
CD8 T cells,DNAJB1,200664 s at,Hs.515210,"3337 DnaJ (Hsp40) homolog, subfamily B, member 1",
CD8 T cells,ARHGAP8,219168.s.at,Hs. 102336,55615 proline rich 5 (renal),
CD8 T cells,GZMM,207460.aΓ,Hs.465511,3004 granzyme M (lymphocyte met-ase 1),
CD8 T cells,SLC16A7,207057.at,Hs.439643,"9194 solute carrier family 16, member 7 (monocarboxylic acid transporter 2)",
CD8 T cells,SFRS7,213649.at,Hs.309090,"6432 splicing factor, arg in i ne/seri n e-ri ch 7, 35k Da",
CD8 T cells,APBA2,209871 s at,Hs.618112,"321 amyloid beta (A4) precursor protein-binding, family A, member 2 (X11-like)",
CD8 T cells,C4orf15,210054.aΓ,Hs.368454,79441 chromosome 4 open reading frame 15,
CD8 T cells,LEPROTL1,202595.s.at,Hs. 146585,23484 leptin receptor overlapping transcript-like 1,
CD8 T cells,ZFP36L2,201367 s at,"Hs.503093, Hs.64506","678 zinc finger protein 36, C3H type-like 2",
CD8 T cells,GADD45A,203725.aΓ,Hs.80409,"1647 growth arrest and DNA-damage-inducible, alpha",
CD8 T cells,ZFP36L2,201369 s at,"Hs.503093, Hs.64506","678 zinc finger protein 36, C3H type-like 2",
CD8 T cells,MYST3,216361 s at,Hs.591848,7994 MYST histone acetyltransferase (monocytic leukemia) 3,
CD8 T cells,ZEB1,208078 s at,Hs. 124503,6935 zine finger E-box binding homeobox 1,
CD8 T cells,ZNF609,212620.aΓ,"Hs.595451, Hs.68343",23060 zinc finger protein 609,
CD8 T cells,C12orf47,64432.at,Hs.333120,51275 chromosome 12 open reading frame 47,
CD8 T cells,THUMPD1,206555 s at,Hs.460232,55623 THUMP domain containing 1,
CD8 T cells,VAMP2,201557.aΓ,Hs.25348,6844 vesicle-associated membrane protein 2 (Synaptobrevin 2),
CD8 T cells,ZNF91,206059.at,Hs.654471,7644 zinc finger protein 91,
CD8 T cells,ZNF22,218006 s at,"Hs.462693, Hs.65512",7570 zinc finger protein 22 (KOX15),
CD8 T cells,TMC6,214958.s.at,Hs.632227,11322 transmembrane channel-like 6,
CD8 T cells,DNAJBI,200666 s at,Hs.515210,"3337 DnaJ (Hsp40) homolog, subfamily B, member 1",
CD8 T cells,FLT3LG,210607.aΓ,Hs.428,2323 frns-related tyrosine kinase 3 ligand,
CD8 T cells,CDKN2AIP,218929.at,Hs.644077,55602 CDKN2A interacting protein,
CD8 T cells,TSC22D3,207001.x.at,Hs.522074,"1831 TSC22 domain family, member 3",
CD8 T cells,TBCC,202495.aΓ,Hs.75064,6903 tubulin folding cofactor C,
CD8 T cells,RBM3,208319.s.at,Hs.301404,"5935 RNA binding motif(RNP1, RRM) protein 3",
CD8 T cells,ABT1,218405.aΓ,Hs.254406,29777 activator of basal transcription 1,
CD8 T cells,C19orf6,212574.x.at,Hs.515003,91304 chromosome 19 open reading frame 6,
CD8 T cells,CAMLG,203538.aΓ,Hs.529846,819 calcium modulating ligand,
CD8 T cells,PPP1R2,202165.at,Hs.535731,"5504 protein phosphatase 1, regulatory (inhibitor) subunit 2",
CD8 T cells,AES,217729 s at,Hs.515053,166 amino-terminal enhancer of split,
CD8 T cells,KLF9,203543 s at,"Hs. 150557, Hs.60226",687 Kruppel-Iike factor 9,
CD8 T cells,PRF1,214617.aΓ,Hs.2200,5551 perforin 1 (pore forming protein),
Tgd,TRD@,217143.s.at,Hs.74647,6964 T cell receptor delta locus,
